food,calories,protein,fat,carbs,sugar,fiber,cholesterol,cost
oat bran bagel,176.0,7.4,0.8,36.8,1.1,2.5,0.0,32
pain au chocolat de la boulangerie,235.0,0.0,12.0,0.0,0.0,0.0,0.0,18
egg bagel,72.0,2.8,0.5,13.8,0.0,0.6,6.2,13
english muffin toasted,140.0,5.4,1.1,27.4,1.8,1.5,0.0,24
english muffin whole wheat toasted,135.0,5.9,1.4,26.9,5.4,4.5,0.0,25
biscuit,357.0,7.1,16.5,45.0,2.2,1.5,3.0,50
french roll,105.0,3.3,1.6,19.1,0.1,1.2,0.0,17
oat bran dinner roll,78.0,3.1,1.5,13.3,2.2,1.4,0.0,14
pecan shortbread cookies,76.0,0.7,4.6,8.2,0.0,0.3,4.6,10
oatmeal cookies,113.0,1.6,4.5,17.2,6.2,0.7,0.0,15
chocolate wafers,485.0,7.4,15.9,81.1,33.2,3.8,2.2,64
vanilla wafers low fat,353.0,4.0,12.2,58.9,30.0,1.5,40.8,44
chocolate chip cookies mcdonalds,136.0,1.6,6.4,18.7,9.6,0.6,18.4,17
gingersnap cookies,29.0,0.4,0.7,5.4,1.4,0.2,0.0,10
biscotti abbracci mulino bianco,54.0,0.4,2.6,0.8,0.051,0.0,0.0,10
chocolate chip cookie,63.0,0.5,2.8,9.3,5.3,0.3,0.0,10
brownie,243.0,2.9,9.8,38.3,22.0,1.3,10.2,31
shortbread cookies,40.0,0.5,1.9,5.2,1.2,0.1,1.6,10
oatmeal cookies with raisins,65.0,1.0,2.4,10.3,0.0,0.0,5.0,10
peanut butter sandwich cookies,67.0,1.2,3.0,9.2,5.0,0.3,0.0,10
sugar cookies,72.0,0.8,3.2,10.2,5.7,0.1,7.7,10
chocolate covered graham crackers,68.0,0.8,3.2,9.3,5.8,0.4,0.0,10
raisin cookies,60.0,0.6,2.0,10.2,7.1,0.2,0.3,10
vanilla wafers,28.0,0.3,1.2,4.3,0.0,0.1,0.0,10
graham crackers,355.0,5.8,8.5,64.5,26.1,2.4,0.0,47
peanut butter cookies,95.0,1.8,4.8,11.8,0.0,0.0,6.2,14
vanilla sandwich cookie,72.0,0.7,3.0,10.8,5.9,0.2,0.0,10
sugar wafers with creme filling,51.0,0.4,2.3,7.1,4.3,0.2,0.0,10
cheese puffs,197.0,2.1,12.8,18.6,1.1,0.6,2.5,25
saltine crackers,13.0,0.3,0.3,2.2,0.063,0.022,0.0,10
trail mix,139.0,4.1,8.8,13.5,0.0,0.0,0.0,23
corn cones,144.0,1.6,7.6,17.8,0.0,0.3,0.0,18
chocolate pretzels,50.0,0.8,1.8,7.8,0.0,0.0,0.0,10
french toast sticks,73.0,1.3,3.8,8.9,2.1,0.3,0.0,10
crackers,82.0,1.1,4.2,9.8,1.3,0.4,0.0,11
sesame sticks,54.0,1.1,3.7,4.7,0.084,0.3,0.0,10
cheese crackers,34.0,0.8,1.6,4.2,0.3,0.2,0.2,10
oriental rice cracker mix,143.0,4.9,7.2,14.6,0.8,3.7,0.0,24
breadsticks,103.0,3.0,2.4,17.1,0.3,0.8,0.0,16
milk crackers,50.0,0.8,1.7,7.7,1.8,0.2,1.2,10
matzo crackers whole wheat,98.0,3.7,0.4,22.1,0.0,3.3,0.0,17
matzo crackers with egg,109.0,3.4,0.6,22.0,0.0,0.8,23.2,17
granola bites,23.0,0.4,0.9,3.3,1.5,0.3,0.0,10
crackers whole wheat,120.0,3.0,4.0,19.5,0.3,2.9,0.0,18
tropical trail mix,619.0,8.8,23.9,91.8,0.0,0.0,0.0,79
soft pretzels,389.0,9.4,3.6,79.8,0.3,2.0,3.5,57
corn tostada shell,58.0,0.8,2.9,7.9,0.0,0.7,0.0,10
matzo crackers,111.0,2.8,0.4,23.4,0.098,0.8,0.0,17
sesame crunch,9.0,0.2,0.6,0.9,0.6,0.1,0.0,10
trail mix with chocolate chips,707.0,20.7,46.6,65.6,0.0,0.0,5.8,114
cracker meal,440.0,10.7,2.0,93.0,0.4,3.0,0.0,63
puffed rice,153.0,2.4,0.2,34.1,0.0,0.6,0.0,20
filinchen gutena,19.0,0.4,0.2,0.5,0.028,0.0,0.0,10
melba toast crackers,117.0,3.6,1.0,23.0,0.3,1.9,0.0,19
matzo crackers with egg onion,109.0,2.8,1.1,21.6,0.0,1.4,12.6,16
cornnuts,126.0,2.4,4.4,20.3,0.2,2.0,0.0,18
bagel chips,789.0,21.6,26.5,116.1,10.5,7.2,0.0,120
pretzels,115.0,3.0,0.9,24.1,0.7,1.0,0.0,18
potato raw,164.0,4.3,0.2,37.2,1.7,4.7,0.0,25
gatto di patate home made,202.0,0.0,9.4,4.0,3.6,0.0,0.0,16
baked potato,161.0,4.3,0.2,36.6,2.0,3.8,0.0,25
potato sticks,188.0,2.4,12.4,19.2,0.006,1.2,0.0,25
potato cooked,52.0,1.1,0.006,12.1,0.5,1.2,0.0,10
vivaldi potatoes sainsburys,23.0,0.0,0.1,0.0,0.0,0.0,0.0,10
potato ham chowder soup,192.0,6.5,12.5,13.4,0.0,1.4,21.6,32
russet potato raw,292.0,7.9,0.3,66.7,2.3,4.8,0.0,44
russet potato baked,290.0,7.9,0.4,64.1,3.2,6.9,0.0,44
french fries,13.0,0.2,0.4,2.2,0.088,0.2,0.0,10
potato scalloped,216.0,7.0,9.0,26.4,0.0,4.7,29.4,35
cottage fries,11.0,0.2,0.4,1.9,0.019,0.2,0.0,10
mashed potatoes,215.0,4.0,6.8,35.5,1.2,3.1,0.0,30
mashed potato with milk and butter,237.0,3.9,8.9,35.3,3.0,3.2,23.1,32
red potato raw,149.0,4.0,0.3,33.9,2.7,3.6,0.0,23
potato pancake,59.0,1.3,3.2,6.1,0.4,0.7,20.9,10
potato puffs,243.0,2.6,11.0,35.5,0.3,3.2,0.0,30
red potato baked,74.0,2.0,0.1,16.7,1.2,1.5,0.0,12
potatoes canned,132.0,3.6,0.3,29.7,0.0,4.2,0.0,20
potato skin raw,22.0,1.0,0.099,4.7,0.0,1.0,0.0,10
shoestring french fries,4.0,0.099,0.1,0.7,0.062,0.099,0.0,10
hash brown potato,144.0,1.4,9.0,15.3,0.3,1.4,0.0,18
baked chips lays,130.0,0.0,2.0,0.0,0.0,0.0,0.0,10
corn chips,162.0,1.9,10.0,17.2,0.031,1.2,0.0,21
nacho cheese tortilla chips low fat,90.0,2.4,1.0,18.5,0.8,1.8,0.6,14
corn chips barbecue,1036.0,13.9,64.7,111.3,0.0,10.3,0.0,135
corn chips unsalted,490.0,5.8,29.4,50.5,1.2,3.9,0.0,61
potato chips fat free,860.0,21.9,1.4,190.1,8.4,17.0,0.0,126
sweet chilli kettle baked chips,99.0,2.0,2.2,2.1,0.4,0.0,0.0,11
taro chips,11.0,0.049,0.6,1.6,0.04,0.2,0.0,10
potato chips reduced fat,801.0,12.1,35.4,113.7,0.4,10.0,0.0,105
onion snacks,150.0,2.3,6.8,19.5,1.4,1.2,0.0,20
potato chips cheese,843.0,14.5,46.2,98.1,0.0,8.8,6.8,114
yuca cassava chips,9.0,0.054,0.4,1.2,0.006,0.002,0.0,10
tortilla chips low fat,117.0,3.1,1.6,22.6,0.2,1.5,0.0,18
ranch flavor tortilla chips,992.0,14.2,48.8,124.2,6.0,7.9,0.0,128
potato chips,161.0,2.1,10.4,15.9,0.007,1.4,0.0,21
tortilla chips,142.0,2.1,6.2,20.3,0.2,1.6,0.0,19
sweet potato chips,149.0,0.8,9.1,15.9,2.5,2.5,0.0,17
nacho cheese tortilla chips,156.0,2.2,8.2,18.2,0.8,1.5,0.0,20
vegetable chips,134.0,1.5,6.6,17.1,1.1,1.3,0.0,17
taco flavor tortilla chips,1090.0,17.9,54.9,143.2,0.0,12.0,11.4,147
potato chips barbecue,970.0,15.2,64.2,104.5,14.0,8.7,0.0,132
pita chips,137.0,3.5,4.6,20.5,1.4,1.1,0.0,21
potato chips sour cream and onion,1051.0,16.0,67.1,102.0,0.0,10.3,13.9,139
adobo fresco,780.0,5.8,60.2,53.6,5.8,3.7,0.0,92
chili pepper sauce red,3.0,0.1,0.089,0.6,0.4,0.1,0.0,10
creamy ranch sauce mcdonalds,132.0,0.3,14.7,1.0,1.0,0.0,5.9,15
catsup,19.0,0.2,0.066,4.5,3.7,0.053,0.0,10
chili pepper sauce green,3.0,0.1,0.032,0.8,0.4,0.3,0.0,10
red wine vinegar,3.0,0.055,0.0,0.011,0.0,0.0,0.0,10
fish sauce,6.0,0.9,0.013,0.7,0.7,0.0,0.0,10
coleslaw dressing reduced fat,56.0,0.0,3.4,6.8,6.6,0.045,4.3,10
sour dressing,21.0,0.4,2.0,0.6,0.6,0.0,0.6,10
guava sauce cooked,86.0,0.8,0.3,22.6,14.0,8.6,0.0,11
pizza sauce,136.0,5.5,2.9,21.8,9.5,5.0,0.0,24
sweetn sour sauce mcdonalds,48.0,0.2,0.3,11.0,10.0,0.0,0.0,10
nance syrup,4.0,0.028,0.002,0.8,0.6,0.3,0.0,10
french dressing reduced fat,37.0,0.072,2.2,4.7,4.6,0.2,0.0,10
peppercorn dressing,76.0,0.2,8.2,0.5,0.3,0.0,6.6,10
sorghum syrup,61.0,0.0,0.0,15.7,15.7,0.0,0.0,10
ranch dressing fat free,17.0,0.039,0.3,3.7,0.7,0.088,1.0,10
caesar dressing low calorie,17.0,0.028,0.7,2.8,2.4,0.053,0.3,10
sweet sour dressing,2.0,0.082,0.0,0.6,0.6,0.0,0.0,10
mayonnaise imitation fat free,13.0,0.043,0.4,2.5,1.6,0.3,1.4,10
sofrito,488.0,26.4,37.5,11.2,0.0,3.5,0.0,99
turkey gravy instant,27.0,0.8,1.0,3.9,0.5,0.3,1.6,10
teriyaki sauce,16.0,1.1,0.015,2.8,2.5,0.016,0.0,10
tomato sauce,59.0,2.9,0.7,13.0,8.7,3.7,0.0,12
barbecue sauce kraft,28.0,0.1,0.053,6.5,5.2,0.032,0.0,10
cranberry sauce sweetened,418.0,0.6,0.4,107.8,105.0,2.8,0.0,44
coleslaw dressing,62.0,0.1,5.3,3.8,3.2,0.024,4.2,10
onion gravy dry,77.0,2.2,0.7,16.2,0.0,1.4,0.5,12
corn syrup light,62.0,0.0,0.09,16.9,16.9,0.0,0.0,10
bacon tomato dressing,49.0,0.3,5.3,0.3,0.3,0.04,0.6,10
pancake syrup,53.0,0.0,0.075,13.9,8.4,0.0,0.0,10
balsamic vinegar,14.0,0.041,0.0,2.7,2.4,0.0,0.0,10
ranch dressing reduced fat,29.0,0.2,1.9,3.2,0.6,0.2,2.4,10
barbecue sauce mcdonalds,46.0,0.4,0.3,10.3,9.6,0.4,0.0,10
vinegar oil dressing,72.0,0.0,8.0,0.4,0.4,0.0,0.0,10
poppyseed dressing,66.0,0.2,5.5,4.0,3.9,0.03,2.5,10
honey mustard dressing,70.0,0.1,6.1,3.5,2.4,0.057,4.4,10
french dressing fat free,21.0,0.01,0.024,5.1,2.6,0.4,0.0,10
vinegar,3.0,0.0,0.0,0.089,0.063,0.0,0.0,10
spray dressing,13.0,0.07,0.9,1.3,1.1,0.075,0.0,10
honey mustard dressing fat free,25.0,0.2,0.2,5.8,2.7,0.2,0.2,10
mushroom gravy,119.0,3.0,6.4,13.0,0.0,1.0,0.0,18
white sauce,368.0,9.6,26.6,22.9,11.0,0.5,17.5,56
marinara pasta sauce,129.0,3.7,3.9,19.9,14.5,4.8,5.3,20
tomato sauce with mushrooms,86.0,3.6,0.3,20.7,14.1,3.7,0.0,16
pork gravy powder,25.0,0.6,0.6,4.3,1.7,0.2,0.7,10
beef gravy,123.0,8.7,5.5,11.2,0.5,0.9,7.0,29
green goddess dressing,64.0,0.3,6.5,1.1,1.0,0.094,6.0,10
salsa con queso,358.0,7.9,23.8,27.9,4.9,1.8,22.5,52
cocktail sauce,19.0,0.2,0.2,4.2,1.8,0.3,0.0,10
worcestershire sauce,13.0,0.0,0.0,3.3,1.7,0.0,0.0,10
barbecue sauce,29.0,0.1,0.1,6.9,5.7,0.2,0.0,10
tomato sauce with onions,103.0,3.8,0.5,24.4,0.0,4.4,0.0,18
brown gravy dry,22.0,0.6,0.6,3.6,0.0,0.1,0.2,10
blue cheese dressing light,14.0,0.3,0.4,2.1,0.6,0.0,1.6,10
spanish tomato sauce,81.0,3.5,0.7,17.7,0.0,3.4,0.0,15
oyster sauce,9.0,0.2,0.066,2.0,0.0,0.024,0.0,10
cheese sauce,30.0,1.5,2.2,0.8,0.033,0.071,5.7,10
hoisin sauce,35.0,0.5,0.5,7.1,4.4,0.4,0.5,10
pickle relish,20.0,0.097,0.061,5.3,4.4,0.2,0.0,10
tomato sauce with herbs cheese,144.0,5.2,4.7,25.0,0.0,5.4,7.3,25
french dressing,73.0,0.1,7.2,2.5,2.6,0.0,0.0,10
mayonnaise hellmanns,15.0,0.0,1.7,0.087,0.2,0.0,0.0,10
canadian maple syrup,76.0,0.0,0.0,19.1,17.0,0.0,0.0,10
maple syrup,52.0,0.09,0.047,13.4,13.6,0.0,0.0,10
barbecue sauce bulls eye,27.0,0.1,0.1,6.4,5.6,0.2,0.0,10
ranch dressing,65.0,0.2,6.7,0.9,0.7,0.0,3.9,10
tomato ketchup mp,15.0,0.0,0.0,0.2,0.0,0.0,0.0,10
mayonnaise light,36.0,0.032,3.3,1.4,0.5,0.0,2.4,10
mayonnaise dressing,103.0,0.0,11.7,0.066,0.093,0.0,0.0,12
malt syrup,67.0,1.3,0.0,15.0,15.0,0.0,0.0,10
gravy dry,86.0,3.3,2.0,14.5,0.0,0.0,1.0,15
cranberry orange relish,490.0,0.8,0.3,127.1,0.0,0.0,0.0,52
caesar dressing,80.0,0.3,8.5,0.5,0.4,0.036,5.7,10
italian dressing,35.0,0.032,3.1,1.8,1.6,0.0,0.0,10
brown gravy instant,25.0,0.6,0.8,4.0,0.6,0.2,0.8,10
roquefort cheese dressing,15.0,0.8,1.1,0.4,0.4,0.0,0.2,10
blue cheese dressing,71.0,0.2,7.7,0.7,0.5,0.045,4.7,10
duck sauce,80.0,0.1,0.063,19.7,9.9,0.2,0.0,10
au jus,38.0,2.8,0.5,5.9,0.0,0.0,0.0,10
corn syrup dark,57.0,0.0,0.0,15.5,15.5,0.0,0.0,10
buttermilk dressing light,30.0,0.2,1.9,3.2,0.6,0.2,2.4,10
cider vinegar,3.0,0.0,0.0,0.1,0.018,0.0,0.0,10
tartar sauce,32.0,0.2,2.5,2.0,0.6,0.078,1.1,10
pepper hot sauce,1.0,0.024,0.018,0.031,0.065,0.071,0.0,10
tomato chili sauce,6.0,0.2,0.095,1.2,0.6,0.4,0.0,10
turkey gravy dry,26.0,0.7,0.5,4.6,0.0,0.0,1.0,10
salsa sauce,5.0,0.3,0.039,1.2,0.7,0.3,0.0,10
steak sauce,16.0,0.2,0.004,3.7,1.7,0.3,0.0,10
molasses,58.0,0.0,0.068,14.9,14.9,0.0,0.0,10
italian dressing fat free,7.0,0.1,0.1,1.2,1.2,0.077,0.3,10
plum sauce,35.0,0.2,0.2,8.1,0.0,0.1,0.0,10
chow mein stir fry master foods,26.0,0.0,0.2,0.0,0.0,0.0,0.0,10
beef gravy instant,25.0,0.7,0.6,4.1,1.6,0.3,0.7,10
horseradish,2.0,0.003,0.085,0.6,0.4,0.2,0.0,10
grenadine,54.0,0.0,0.0,13.4,9.3,0.0,0.0,10
tabasco sauce,1.0,0.045,0.002,0.006,0.067,0.013,0.0,10
sweet sour sauce,26.0,0.02,0.084,6.7,3.3,0.065,0.0,10
salsa verde,6.0,0.2,0.1,1.0,0.5,0.3,0.0,10
miso,40.0,2.6,1.2,5.1,1.2,1.1,0.0,10
sprouted soybean cooked,76.0,8.0,4.2,6.1,0.4,0.8,0.0,24
soy flour roasted,375.0,29.6,18.6,28.6,6.5,8.2,0.0,93
soy flour low fat,330.0,40.0,7.8,30.7,9.3,14.1,0.0,107
green soybean cooked,127.0,11.1,5.8,9.9,0.0,3.8,0.0,34
azumaya tofu vitasoy,316.0,32.8,16.6,9.1,1.6,2.4,0.0,92
soy proteins isolate,96.0,22.8,1.0,2.1,0.0,1.6,0.0,52
tofu yogurt,246.0,9.2,4.7,41.8,3.2,0.5,0.0,42
bacon meatless,446.0,15.4,42.5,9.1,0.0,3.7,0.0,77
meatless chicken fried,304.0,27.7,16.6,11.1,0.0,5.6,0.0,82
soymilk,109.0,7.1,4.8,8.4,6.1,1.0,0.0,24
soy vermicelli,463.0,0.1,0.1,115.2,24.4,5.5,0.0,47
tofu fried,35.0,2.4,2.6,1.2,0.4,0.5,0.0,10
tempeh,320.0,30.8,17.9,15.6,0.0,0.0,0.0,90
koyadofu,81.0,8.9,5.2,1.7,0.0,1.2,0.0,25
meatless meatloaf,110.0,11.8,5.0,4.5,0.7,2.6,0.0,33
soya vanille joghurt alpro,21.0,0.3,0.6,1.0,0.09,0.0,0.0,10
soybean curd cheese,340.0,28.1,18.2,15.5,3.6,0.0,0.0,86
soy sauce,8.0,1.3,0.054,0.8,0.097,0.1,0.0,10
soybean dry roasted,419.0,36.8,20.1,30.4,0.0,7.5,0.0,111
soybean oil,120.0,0.0,13.6,0.0,0.0,0.0,0.0,13
meatless chicken,376.0,39.7,21.4,6.1,0.0,6.0,0.0,111
soybean cooked,296.0,28.6,15.4,17.1,5.2,10.3,0.0,84
soymilk nonfat,68.0,6.0,0.046,10.1,8.9,0.5,0.0,18
soy flour,23.0,1.8,1.1,1.8,0.4,0.5,0.0,10
soybean lecithin oil,104.0,0.0,13.6,0.0,0.0,0.0,0.0,12
tofu raw,188.0,20.0,11.9,4.7,0.0,0.7,0.0,57
soy chips,109.0,7.5,2.1,15.0,0.5,1.0,0.0,25
green soybean raw,376.0,33.2,17.4,28.3,0.0,10.8,0.0,100
soy proteins concentrate,93.0,18.0,0.1,7.2,0.0,1.6,0.0,43
soybean margarine,34.0,0.052,3.8,0.043,0.0,0.0,0.0,10
chocolate soymilk nonfat,107.0,6.0,0.046,20.7,8.9,0.5,0.0,22
okara,93.0,3.9,2.1,15.3,0.0,0.0,0.0,17
meatless meatballs,284.0,30.2,13.0,11.5,1.8,6.6,0.0,84
vanilla soymilk,131.0,7.9,4.3,15.3,9.7,1.5,0.0,28
soy meal raw,414.0,54.8,2.9,49.0,0.0,0.0,0.0,142
soymilk low fat,104.0,4.0,1.5,17.5,8.5,1.9,0.0,18
sprouted soybean raw,85.0,9.2,4.7,6.7,0.0,0.8,0.0,27
soybean raw,830.0,67.9,37.1,56.1,13.6,17.3,0.0,150
tempeh cooked,55.0,5.1,3.2,2.6,0.0,0.0,0.0,16
vanilla soymilk light,83.0,6.4,2.1,9.4,1.0,1.5,0.0,20
chocolate soymilk,153.0,5.5,3.7,24.2,19.1,1.0,0.0,26
soy oil,120.0,0.0,13.6,0.0,0.0,0.0,0.0,13
natto,169.0,14.2,8.8,11.5,3.9,4.3,0.0,44
chrysanthemum raw,12.0,1.7,0.3,1.5,0.0,1.5,0.0,10
gourd cooked,100.0,1.2,0.6,25.5,9.2,5.2,0.0,13
cauliflower raw,3.0,0.2,0.081,0.6,0.2,0.3,0.0,10
red cabbage raw,53.0,2.4,0.3,12.5,6.5,3.6,0.0,11
broccoli raab raw,9.0,1.3,0.2,1.1,0.2,1.1,0.0,10
napa cabbage cooked,13.0,1.2,0.2,2.4,0.0,0.0,0.0,10
kelp,2.0,0.07,0.067,0.5,0.069,0.018,0.0,10
shallots raw,18.0,0.6,0.061,4.2,2.0,0.8,0.0,10
bamboo shoots raw,49.0,4.7,0.5,9.4,5.4,4.0,0.0,14
jute cooked,32.0,3.2,0.2,6.3,0.9,1.7,0.0,10
red lettuce,4.0,0.4,0.08,0.6,0.1,0.3,0.0,10
broccoli cooked,98.0,6.7,1.1,20.1,3.9,9.2,0.0,23
romanesco raw,20.0,1.9,0.2,3.9,1.9,2.0,0.0,10
eggplant raw,115.0,4.5,0.8,26.9,16.2,13.7,0.0,21
leeks raw,54.0,1.3,0.3,12.6,3.5,1.6,0.0,10
lemongrass citronella,5.0,0.038,0.076,1.2,0.0,0.0,0.0,10
pumpkin cooked,49.0,1.8,0.2,12.0,5.1,2.7,0.0,10
celery cooked,7.0,0.3,0.098,1.5,0.9,0.6,0.0,10
serrano pepper,2.0,0.1,0.075,0.4,0.2,0.2,0.0,10
nopales raw,14.0,1.1,0.063,2.9,1.0,1.9,0.0,10
sweet potato leaves cooked,22.0,1.4,0.2,4.7,3.5,1.2,0.0,10
eggplant cooked,33.0,0.8,0.2,8.1,3.2,2.5,0.0,10
asparagus cooked,3.0,0.4,0.074,0.6,0.2,0.3,0.0,10
rutabaga cooked,72.0,2.2,0.4,16.4,9.5,4.3,0.0,12
parsnips raw,128.0,2.0,0.5,30.6,8.2,8.3,0.0,17
sour pickles,17.0,0.5,0.3,3.5,1.6,1.9,0.0,10
turnip greens cooked,29.0,1.6,0.3,6.3,0.8,5.0,0.0,10
jerusalem artichokes,110.0,3.0,0.047,26.2,14.4,2.4,0.0,17
collard raw,12.0,1.1,0.2,2.0,0.2,1.4,0.0,10
chrysanthemum cooked,20.0,1.6,0.036,4.3,2.0,2.3,0.0,10
oriental radish dried,314.0,9.2,0.8,73.5,43.3,27.7,0.0,50
tomatillos,42.0,1.3,1.3,7.7,5.2,2.5,0.0,10
taro shoots raw,9.0,0.8,0.069,2.0,0.0,0.0,0.0,10
acorn squash raw,172.0,3.4,0.4,44.9,0.0,6.5,0.0,25
leeks dried,10.0,0.5,0.026,2.4,0.0,0.3,0.0,10
cabbage raw,70.0,3.6,0.3,16.2,9.0,7.0,0.0,15
sweet red peppers cooked,19.0,0.7,0.1,4.5,3.2,0.9,0.0,10
sweet red peppers raw,46.0,1.5,0.4,9.0,6.3,3.1,0.0,10
cucumber peeled,16.0,0.8,0.2,2.9,1.8,0.9,0.0,10
purslane raw,9.0,0.9,0.2,1.5,0.0,0.0,0.0,10
peas onions cooked,81.0,4.6,0.4,15.5,6.8,4.0,0.0,17
tomato cooked,22.0,1.2,0.1,4.9,3.1,0.9,0.0,10
taro shoots cooked,20.0,1.0,0.1,4.5,0.0,0.0,0.0,10
scots kale raw,28.0,1.9,0.4,5.6,0.0,1.1,0.0,10
artichoke raw,60.0,4.2,0.2,13.5,1.3,6.9,0.0,15
navy bean sprouts raw,70.0,6.4,0.7,13.6,0.0,0.0,0.0,20
sweet pickles,146.0,0.9,0.7,33.8,29.2,1.6,0.0,17
oriental radish cooked,25.0,1.0,0.4,5.0,2.7,2.4,0.0,10
sweet potato leaves raw,15.0,0.9,0.2,3.1,0.0,1.9,0.0,10
irishmoss,2.0,0.037,0.049,0.6,0.098,0.082,0.0,10
drumstick leaves cooked,25.0,2.2,0.4,4.7,0.4,0.8,0.0,10
winter squash raw,39.0,1.1,0.2,10.0,2.6,1.7,0.0,10
pumpkin raw,30.0,1.2,0.1,7.5,3.2,0.6,0.0,10
chicory greens,7.0,0.5,0.096,1.4,0.2,1.2,0.0,10
spinach cooked,41.0,5.3,0.5,6.8,0.8,4.3,0.0,15
radish pickled,42.0,1.7,0.5,7.8,3.0,3.3,0.0,10
sweet onion,106.0,2.6,0.3,25.0,16.6,3.0,0.0,16
salsify cooked,92.0,3.7,0.2,20.7,3.9,4.2,0.0,17
radish seeds sprouted,16.0,1.4,1.0,1.4,0.0,0.0,0.0,10
turnips raw,51.0,1.6,0.2,11.8,7.0,3.3,0.0,10
burdock root raw,85.0,1.8,0.2,20.5,3.4,3.9,0.0,13
red cabbage cooked,49.0,2.6,0.2,11.8,5.6,4.4,0.0,11
jute raw,10.0,1.3,0.046,1.6,0.0,0.0,0.0,10
hot chile pepper dried,2.0,0.054,0.054,0.3,0.2,0.1,0.0,10
salsify raw,109.0,4.4,0.3,24.7,0.0,4.4,0.0,20
crookneck squash raw,24.0,1.3,0.3,4.9,4.5,1.3,0.0,10
indian squash cooked,38.0,0.7,0.4,7.6,4.7,3.5,0.0,10
poi,269.0,0.9,0.3,65.4,0.9,1.0,0.0,29
sesbania flower cooked,22.0,1.2,0.007,5.3,0.0,0.0,0.0,10
acorn squash cooked,115.0,2.3,0.3,29.9,0.0,9.0,0.0,17
cauliflower cooked,29.0,2.3,0.6,5.1,2.6,2.9,0.0,10
crookneck squash cooked,34.0,1.9,0.7,6.8,4.5,2.0,0.0,10
laver seaweed,1.0,0.2,0.012,0.1,0.071,0.09,0.0,10
mountain yam cooked,119.0,2.5,0.1,29.0,0.0,0.0,0.0,17
pumpkin flowers raw,5.0,0.3,0.084,1.1,0.0,0.0,0.0,10
mustard greens raw,15.0,1.6,0.2,2.6,0.7,1.8,0.0,10
arrowhead,12.0,0.6,0.084,2.4,0.0,0.0,0.0,10
japanese cabbage,45.0,2.4,0.2,8.5,2.0,4.7,0.0,10
mung bean sprouts cooked,24.0,2.5,0.1,4.5,3.5,1.0,0.0,10
scallop squash cooked,29.0,1.9,0.3,5.9,2.7,3.4,0.0,10
pumpkin leaves cooked,15.0,1.9,0.2,2.4,0.5,1.9,0.0,10
hungarian pepper,8.0,0.2,0.1,1.8,1.0,0.3,0.0,10
sweet potato baked,103.0,2.3,0.2,23.6,7.4,3.8,0.0,15
chinese cabbage pe tsai raw,12.0,0.9,0.2,2.5,1.1,0.9,0.0,10
taro raw,116.0,1.6,0.2,27.5,0.4,4.3,0.0,15
yam bean jicama,49.0,0.9,0.1,11.5,2.3,6.4,0.0,10
olives,10.0,0.09,0.9,0.5,0.0,0.1,0.0,10
mustard greens cooked,36.0,3.6,0.7,6.3,2.0,2.8,0.0,11
pumpkin flowers cooked,20.0,1.5,0.1,4.4,3.2,1.2,0.0,10
tree fern cooked,57.0,0.4,0.096,15.3,0.0,5.3,0.0,10
yellow corn raw,606.0,15.6,7.9,123.3,1.1,12.1,0.0,91
endive,9.0,0.6,0.1,1.7,0.1,1.6,0.0,10
wakame,36.0,2.4,0.5,7.3,0.5,0.4,0.0,10
tahitian taro raw,55.0,3.5,1.2,8.6,0.0,0.0,0.0,13
broccoli raw,31.0,2.6,0.3,6.0,1.5,2.4,0.0,10
sweet green peppers raw,30.0,1.3,0.3,6.9,3.6,2.5,0.0,10
chinese cabbage pak choi cooked,20.0,2.7,0.3,3.0,1.4,1.7,0.0,10
agar,1.0,0.053,0.058,0.3,0.005,0.027,0.0,10
watercress,4.0,0.8,0.006,0.4,0.099,0.2,0.0,10
beet greens cooked,39.0,3.7,0.3,7.9,0.9,4.2,0.0,12
winter squash cooked,76.0,1.8,0.7,18.1,6.8,5.7,0.0,12
new zealand spinach raw,8.0,0.8,0.1,1.4,0.2,0.8,0.0,10
okra,4.0,0.2,0.082,0.9,0.2,0.4,0.0,10
yautia tannier,132.0,2.0,0.5,31.9,0.0,2.0,0.0,18
mustard spinach cooked,29.0,3.1,0.4,5.0,0.0,3.6,0.0,10
rhubarb cooked,278.0,0.9,0.1,74.9,68.9,4.8,0.0,31
beets raw,58.0,2.2,0.2,13.0,9.2,3.8,0.0,10
drumstick pods raw,37.0,2.1,0.2,8.5,0.0,3.2,0.0,10
baby zucchini,2.0,0.3,0.089,0.3,0.0,0.1,0.0,10
onion raw,16.0,0.4,0.048,3.7,1.7,0.7,0.0,10
romanesco cooked,39.0,3.7,0.4,7.7,0.0,4.0,0.0,12
butternut squash raw,90.0,2.0,0.2,23.4,4.4,4.0,0.0,14
amaranth leaves,6.0,0.7,0.075,1.1,0.0,0.0,0.0,10
turnip greens raw,18.0,0.8,0.2,3.9,0.4,1.8,0.0,10
spaghetti squash raw,31.0,0.6,0.6,7.0,2.8,1.5,0.0,10
seaweed dry,52.0,3.1,0.3,9.2,0.0,7.3,6.6,11
yam cooked,158.0,2.0,0.2,37.4,0.7,5.3,0.0,20
corn dried,119.0,4.1,3.0,18.8,6.0,5.8,0.0,20
cucumber,23.0,1.0,0.2,5.4,2.5,0.8,0.0,10
arrowroot,78.0,5.1,0.2,16.1,0.0,1.6,0.0,18
